"position","row_id","entrez_id","symbol","scgpt_symbol","reactome_pathways","baseline_mean","pre_change_sd","change_excess","between_subject_sd"
323,"gene7852","7852","CXCR4","CXCR4",26,8.404,0.2279,0.5232,0.2007
324,"gene80310","80310","PDGFD","PDGFD",3,3.181,0.4118,0.5223,0.5413
325,"gene10622","10622","POLR3G","POLR3G",18,2.167,0.5494,0.5222,0.4005
326,"gene10135","10135","NAMPT","NAMPT",11,8.653,0.2301,0.5208,0.2875
327,"gene4778","4778","NFE2","NFE2",9,6.979,0.215,0.5206,0.2424
328,"gene160364","160364","CLEC12A","CLEC12A",3,5.735,0.2341,0.5205,0.9701
329,"gene1912","1912","PHC2","PHC2",32,7.089,0.2149,0.5194,0.1731
330,"gene10663","10663","CXCR6","CXCR6",8,3.45,0.3801,0.5192,0.6223
331,"gene9437","9437","NCR1","NCR1",3,3.521,0.3724,0.5186,0.5484
332,"gene84649","84649","DGAT2","DGAT2",13,5.712,0.2343,0.5185,0.2372
333,"gene2624","2624","GATA2","GATA2",9,5.684,0.2348,0.5167,0.4694
334,"gene3326","3326","HSP90AB1","HSP90AB1",63,8.865,0.2319,0.5165,0.1796
335,"gene5079","5079","PAX5","PAX5",5,5.93,0.2276,0.5155,0.5281
336,"gene5208","5208","PFKFB2","PFKFB2",5,3.925,0.333,0.5148,0.2288
337,"gene353189","353189","SLCO4C1","SLCO4C1",7,3.768,0.3468,0.5146,0.3073
338,"gene3945","3945","LDHB","LDHB",3,8.432,0.2262,0.5145,0.2449
339,"gene84174","84174","SLA2","SLA2",4,5.889,0.228,0.5129,0.2769
340,"gene3821","3821","KLRC1","KLRC1",3,2.881,0.4439,0.5126,0.8333
341,"gene356","356","FASLG","FASLG",4,4.485,0.2905,0.5112,0.446
342,"gene59352","59352","LGR6","LGR6",4,4.159,0.3131,0.5103,0.6809
343,"gene6201","6201","RPS7","RPS7",58,8.365,0.2246,0.5103,0.1471
344,"gene6164","6164","RPL34","RPL34",46,8.074,0.2217,0.5079,0.2119
345,"gene3921","3921","RPSA","RPSA",56,9.488,0.2397,0.5063,0.2073
346,"gene3576","3576","CXCL8","CXCL8",20,2.894,0.4391,0.5053,0.7121
347,"gene6227","6227","RPS21","RPS21",54,7.108,0.2117,0.5039,0.1732
348,"gene7915","7915","ALDH5A1","ALDH5A1",5,5.185,0.2509,0.5036,0.3288
349,"gene684","684","BST2","BST2",13,5.855,0.2267,0.5033,0.2604
350,"gene80781","80781","COL18A1","COL18A1",10,6.341,0.2167,0.5023,0.6995
351,"gene6934","6934","TCF7L2","TCF7L2",43,4.896,0.2641,0.5018,0.3533
352,"gene338440","338440","ANO9","ANO9",10,5.799,0.2276,0.5006,0.324
353,"gene80216","80216","ALPK1","ALPK1",24,5.723,0.2295,0.4992,0.2061
354,"gene6515","6515","SLC2A3","SLC2A3",15,6.967,0.2101,0.4975,0.2658
355,"gene1933","1933","EEF1B2","EEF1B2",3,8.433,0.2224,0.4974,0.19
356,"gene400916","400916","CHCHD10","CHCHD10",2,4.587,0.2799,0.4959,0.1938
357,"gene79689","79689","STEAP4","STEAP4",3,6.025,0.2205,0.494,0.2569
358,"gene726","726","CAPN5","CAPN5",2,4.141,0.3088,0.4924,0.455
359,"gene729359","729359","PLIN4","PLIN4",6,3.522,0.3625,0.4923,0.3342
360,"gene57610","57610","RANBP10","RANBP10",4,6.557,0.2117,0.4922,0.3899
361,"gene4064","4064","CD180","CD180",4,4.64,0.2754,0.4913,0.4257
362,"gene25873","25873","RPL36","RPL36",46,8.926,0.227,0.4911,0.1767
363,"gene1847","1847","DUSP5","DUSP5",6,3.921,0.3254,0.4907,0.3645
364,"gene8291","8291","DYSF","DYSF",4,7.068,0.2087,0.4902,0.2544
365,"gene51523","51523","CXXC5","CXXC5",4,5.245,0.2447,0.4891,0.2532
366,"gene3070","3070","HELLS","HELLS",4,2.157,0.533,0.489,0.4209
367,"gene6036","6036","RNASE2","RNASE2",3,4.147,0.3073,0.4889,0.6817
368,"gene11123","11123","RCAN3","RCAN3",7,6.322,0.2141,0.4887,0.3023
369,"gene10581","10581","IFITM2","IFITM2",4,9.433,0.2344,0.4882,0.2479
370,"gene50509","50509","COL5A3","COL5A3",34,3.02,0.4163,0.488,1.7796
371,"gene9975","9975","NR1D2","NR1D2",4,5.556,0.2319,0.4856,0.1518
372,"gene5464","5464","PPA1","PPA1",6,5.082,0.2501,0.4822,0.2865
373,"gene140803","140803","TRPM6","TRPM6",4,4.134,0.3061,0.4817,0.3476
374,"gene6846","6846","XCL2","XCL2",8,3.501,0.3608,0.4815,0.753
375,"gene4537","4537","MT-ND3","MT-ND3",8,9.253,0.2298,0.4815,0.2808
376,"gene3490","3490","IGFBP7","IGFBP7",8,4.218,0.2996,0.4803,0.4812
377,"gene84766","84766","CRACR2A","CRACR2A",3,5.045,0.2512,0.4795,0.236
378,"gene944","944","TNFSF8","TNFSF8",4,5.642,0.2274,0.4784,0.1916
379,"gene366","366","AQP9","AQP9",4,7.349,0.2061,0.4781,0.2437
380,"gene9934","9934","P2RY14","P2RY14",8,2.841,0.4335,0.4775,0.478
381,"gene7846","7846","TUBA1A","TUBA1A",110,7.018,0.206,0.4774,0.2039
382,"gene6478","6478","SIAH2","SIAH2",13,6.312,0.2118,0.477,0.3706
383,"gene6171","6171","RPL41","RPL41",46,8.68,0.2206,0.4768,0.1279
384,"gene6152","6152","RPL24","RPL24",46,8.314,0.2166,0.4759,0.1371
385,"gene360","360","AQP3","AQP3",8,6.328,0.2112,0.4758,0.2967
386,"gene2214","2214","FCGR3A","FCGR3A",22,8.614,0.2195,0.4752,0.3702
387,"gene3004","3004","GZMM","GZMM",5,6.372,0.2102,0.4743,0.2717
388,"gene5494","5494","PPM1A","PPM1A",10,6.928,0.205,0.473,0.3414
389,"gene1232","1232","CCR3","CCR3",8,5.164,0.244,0.4722,0.5749
390,"gene4953","4953","ODC1","ODC1",4,6.317,0.2106,0.4721,0.2963
391,"gene3274","3274","HRH2","HRH2",8,6.884,0.2048,0.4718,0.2468
392,"gene5577","5577","PRKAR2B","PRKAR2B",66,5.595,0.2273,0.4713,0.5001
393,"gene9254","9254","CACNA2D2","CACNA2D2",17,4.951,0.2535,0.4713,0.5106
394,"gene915","915","CD3D","CD3D",14,6.95,0.2045,0.4705,0.2175
395,"gene3123","3123","HLA-DRB1","HLA-DRB1",13,6.715,0.2056,0.47,1.0514
396,"gene154","154","ADRB2","ADRB2",16,4.762,0.2627,0.4699,0.3159
397,"gene929","929","CD14","CD14",43,7.432,0.2047,0.469,0.2736
398,"gene3577","3577","CXCR1","CXCR1",11,7.957,0.212,0.4687,0.2349
399,"gene1880","1880","GPR183","GPR183",6,5.849,0.2191,0.4685,0.2801
400,"gene6204","6204","RPS10","RPS10",54,8.887,0.2213,0.4682,0.1866
401,"gene6224","6224","RPS20","RPS20",54,9.489,0.2307,0.4681,0.1687
402,"gene126231","126231","ZNF573","ZNF573",3,2.869,0.4254,0.4668,0.2409
403,"gene57514","57514","ARHGAP31","ARHGAP31",8,5.181,0.2419,0.4665,0.2581
404,"gene31","31","ACACA","ACACA",18,4.013,0.3103,0.4661,0.2081
405,"gene1870","1870","E2F2","E2F2",15,4.194,0.2971,0.4661,0.4375
406,"gene10449","10449","ACAA2","ACAA2",4,4.86,0.2565,0.4655,0.2337
407,"gene114907","114907","FBXO32","FBXO32",12,5.159,0.242,0.4629,0.2202
408,"gene6139","6139","RPL17","RPL17",46,8.501,0.2155,0.4628,0.1504
409,"gene79887","79887","PLBD1","PLBD1",8,6.804,0.2033,0.4627,0.2711
410,"gene2793","2793","GNGT2","GNGT2",86,4.163,0.2982,0.4627,0.2672
411,"gene2059","2059","EPS8","EPS8",4,2.33,0.4933,0.4614,0.5492
412,"gene8334","8334","H2AC6","H2AC6",150,5.683,0.2219,0.4601,0.2548
413,"gene3613","3613","IMPA2","IMPA2",3,5.203,0.2394,0.46,0.2696
414,"gene170622","170622","COMMD6","COMMD6",3,4.919,0.2522,0.4599,0.17
415,"gene2550","2550","GABBR1","GABBR1",17,5.088,0.2441,0.4589,0.3089
416,"gene3572","3572","IL6ST","IL6ST",22,6.57,0.2041,0.4558,0.3246
417,"gene2950","2950","GSTP1","GSTP1",13,7.272,0.2015,0.4555,0.2481
418,"gene2081","2081","ERN1","ERN1",8,5.926,0.2144,0.4554,0.3077
419,"gene4792","4792","NFKBIA","NFKBIA",67,7.56,0.203,0.4538,0.2131
420,"gene9398","9398","CD101","CD101",4,5.369,0.2313,0.4533,0.5328
421,"gene3028","3028","HSD17B10","HSD17B10",11,4.885,0.2519,0.4525,0.1673
422,"gene6241","6241","RRM2","RRM2",12,2.204,0.5068,0.4523,0.5556
423,"gene23401","23401","FRAT2","FRAT2",6,6.748,0.2016,0.4521,0.2228
424,"gene8794","8794","TNFRSF10C","TNFRSF10C",6,7.604,0.2031,0.4517,0.238
425,"gene22800","22800","RRAS2","RRAS2",5,4.334,0.2829,0.4497,0.2948
426,"gene3398","3398","ID2","ID2",6,6.837,0.2003,0.4486,0.2245
427,"gene4068","4068","SH2D1A","SH2D1A",3,5.785,0.2164,0.4486,0.2506
428,"gene6286","6286","S100P","S100P",3,3.364,0.3631,0.4485,1.5472
429,"gene157285","157285","PRAG1","PRAG1",5,5.897,0.2135,0.4481,0.2518
430,"gene3340","3340","NDST1","NDST1",5,5.983,0.2112,0.4465,0.3224
431,"gene85441","85441","HELZ2","HELZ2",31,6.576,0.2021,0.4465,0.3566
432,"gene6144","6144","RPL21","RPL21",46,9.503,0.226,0.4461,0.1866
433,"gene8638","8638","OASL","OASL",7,3.453,0.3529,0.4458,0.6754
434,"gene54407","54407","SLC38A2","SLC38A2",8,6.687,0.201,0.4458,0.1897
435,"gene81794","81794","ADAMTS10","ADAMTS10",9,5.705,0.2181,0.4458,0.3165
436,"gene6272","6272","SORT1","SORT1",4,5.709,0.2179,0.4456,0.2562
437,"gene445582","445582","POTEE","POTEE",5,3.618,0.337,0.4452,0.5942
438,"gene1345","1345","COX6C","COX6C",13,5.414,0.2276,0.4447,0.1871
439,"gene6146","6146","RPL22","RPL22",46,8.517,0.2118,0.4445,0.1719
440,"gene514","514","ATP5F1E","ATP5F1E",6,7.225,0.1993,0.4438,0.2078
441,"gene6155","6155","RPL27","RPL27",46,9.02,0.2177,0.4434,0.1431
442,"gene6160","6160","RPL31","RPL31",46,9.432,0.224,0.443,0.1668
443,"gene162966","162966","ZNF600","ZNF600",3,5.48,0.2247,0.4425,0.4202
444,"gene3728","3728","JUP","JUP",44,5.209,0.2349,0.4421,0.9247
445,"gene26289","26289","AK5","AK5",3,4.208,0.2889,0.4416,0.5121
446,"gene2768","2768","GNA12","GNA12",10,6.13,0.2072,0.4415,0.3286
447,"gene26268","26268","FBXO9","FBXO9",7,6.627,0.2006,0.4412,0.3705
448,"gene6647","6647","SOD1","SOD1",18,6.479,0.2017,0.4398,0.1236
449,"gene7320","7320","UBE2B","UBE2B",12,5.236,0.2332,0.4395,0.2254
450,"gene3430","3430","IFI35","IFI35",4,4.58,0.2649,0.4394,0.3528
451,"gene389","389","RHOC","RHOC",32,6.383,0.2027,0.439,0.3599
452,"gene4261","4261","CIITA","CIITA",4,6.474,0.2014,0.4383,0.2421
453,"gene65018","65018","PINK1","PINK1",10,6.711,0.1993,0.4382,0.33
454,"gene146850","146850","PIK3R6","PIK3R6",27,4.822,0.2513,0.4378,0.4096
455,"gene301","301","ANXA1","ANXA1",19,7.584,0.2,0.4377,0.2617
456,"gene63893","63893","UBE2O","UBE2O",4,6.821,0.1977,0.4353,0.3148
457,"gene6886","6886","TAL1","TAL1",12,5.038,0.2405,0.4349,0.4408
458,"gene54498","54498","SMOX","SMOX",8,4.978,0.2432,0.4348,0.461
459,"gene57630","57630","SH3RF1","SH3RF1",9,2.505,0.4568,0.4346,0.434
460,"gene1471","1471","CST3","CST3",8,8.143,0.2064,0.4342,0.3333
461,"gene56005","56005","MYDGF","MYDGF",5,5.274,0.2305,0.4342,0.179
462,"gene8536","8536","CAMK1","CAMK1",13,5,0.2418,0.4332,0.3808
463,"gene10219","10219","KLRG1","KLRG1",3,5.416,0.2248,0.4327,0.4912
464,"gene5052","5052","PRDX1","PRDX1",20,6.001,0.2079,0.4326,0.1742
465,"gene838","838","CASP5","CASP5",8,2.958,0.4009,0.4325,0.5525
466,"gene682","682","BSG","BSG",16,8.384,0.208,0.4324,0.3238
467,"gene3164","3164","NR4A1","NR4A1",12,2.986,0.3976,0.4323,0.6215
468,"gene1475","1475","CSTA","CSTA",3,5.128,0.2359,0.4318,0.2264
469,"gene5610","5610","EIF2AK2","EIF2AK2",21,4.081,0.2949,0.4318,0.505
470,"gene6352","6352","CCL5","CCL5",12,8.129,0.2058,0.4316,0.4089
471,"gene2634","2634","GBP2","GBP2",15,7.351,0.1968,0.4316,0.2947
472,"gene5721","5721","PSME2","PSME2",18,6.303,0.2025,0.4314,0.2572
473,"gene127933","127933","UHMK1","UHMK1",5,6.532,0.1995,0.4314,0.1515
474,"gene6168","6168","RPL37A","RPL37A",46,9.313,0.2192,0.43,0.17
475,"gene3115","3115","HLA-DPB1","HLA-DPB1",13,7.163,0.1966,0.4299,0.4545
476,"gene8718","8718","TNFRSF25","TNFRSF25",4,6.097,0.2053,0.4298,0.3347
477,"gene80727","80727","TTYH3","TTYH3",3,6.896,0.1963,0.4297,0.2136
478,"gene221472","221472","FGD2","FGD2",12,6.718,0.1974,0.429,0.2809
479,"gene1350","1350","COX7C","COX7C",13,6.263,0.2023,0.4276,0.1355
480,"gene6641","6641","SNTB1","SNTB1",6,5.424,0.2233,0.4275,0.198
481,"gene4900","4900","NRGN","NRGN",12,8.941,0.213,0.4268,0.4703
482,"gene5141","5141","PDE4A","PDE4A",7,4.691,0.2554,0.4267,0.2743
483,"gene5027","5027","P2RX7","P2RX7",23,4.767,0.2513,0.4263,0.3123
484,"gene219333","219333","USP12","USP12",4,5.358,0.2255,0.4261,0.3243
485,"gene302","302","ANXA2","ANXA2",24,7.877,0.2021,0.426,0.2921
486,"gene4353","4353","MPO","MPO",5,3.447,0.3464,0.4254,1.0328
487,"gene8724","8724","SNX3","SNX3",7,6.443,0.1991,0.4249,0.2305
488,"gene25801","25801","GCA","GCA",3,6.348,0.2005,0.4249,0.2074
489,"gene968","968","CD68","CD68",3,8.076,0.2038,0.4239,0.2682
490,"gene122416","122416","ANKRD9","ANKRD9",3,3.631,0.3285,0.4233,0.6373
491,"gene2153","2153","F5","F5",17,5.225,0.2298,0.4226,0.3331
492,"gene9531","9531","BAG3","BAG3",4,4.814,0.2479,0.4225,0.2691
493,"gene23191","23191","CYFIP1","CYFIP1",41,5.097,0.2348,0.4217,0.2725
494,"gene8787","8787","RGS9","RGS9",20,3.178,0.3726,0.4214,0.5326
495,"gene6280","6280","S100A9","S100A9",29,10.341,0.237,0.4214,0.2585
496,"gene54790","54790","TET2","TET2",5,6.495,0.1978,0.4213,0.216
497,"gene1116","1116","CHI3L1","CHI3L1",3,6.237,0.2013,0.4208,0.7254
498,"gene6194","6194","RPS6","RPS6",68,10.33,0.2365,0.4203,0.184
499,"gene6154","6154","RPL26","RPL26",46,9.302,0.2168,0.42,0.1322
500,"gene22914","22914","KLRK1","KLRK1",10,7.617,0.1969,0.4198,0.3496
501,"gene1593","1593","CYP27A1","CYP27A1",16,4.829,0.2462,0.4187,0.5677
502,"gene91319","91319","DERL3","DERL3",13,2.12,0.502,0.4185,0.4624
503,"gene3646","3646","EIF3E","EIF3E",11,7.611,0.1965,0.4183,0.1688
504,"gene6206","6206","RPS12","RPS12",54,9.869,0.2262,0.4174,0.2199
505,"gene321","321","APBA2","APBA2",3,5.24,0.228,0.4173,0.3322
506,"gene7273","7273","TTN","TTN",6,5.194,0.2297,0.4172,0.469
507,"gene8875","8875","VNN2","VNN2",7,7.087,0.1939,0.4165,0.3825
508,"gene28996","28996","HIPK2","HIPK2",19,7.087,0.1939,0.4164,0.223
509,"gene1512","1512","CTSH","CTSH",7,6.631,0.1955,0.4157,0.3084
510,"gene25824","25824","PRDX5","PRDX5",9,6.876,0.1935,0.4149,0.3835
511,"gene10963","10963","STIP1","STIP1",8,6.675,0.1947,0.4134,0.1526
512,"gene217","217","ALDH2","ALDH2",13,5.711,0.211,0.4134,0.3327
513,"gene114879","114879","OSBPL5","OSBPL5",5,6.477,0.1961,0.4116,0.3826
514,"gene25956","25956","SEC31B","SEC31B",8,5.669,0.2118,0.4114,0.2139
515,"gene3566","3566","IL4R","IL4R",4,7.521,0.194,0.4108,0.2974
516,"gene4833","4833","NME4","NME4",3,5.019,0.2356,0.4105,0.344
517,"gene133522","133522","PPARGC1B","PPARGC1B",34,3.882,0.3033,0.4104,0.2704
518,"gene5140","5140","PDE3B","PDE3B",25,5.812,0.2075,0.41,0.2998
519,"gene55432","55432","YOD1","YOD1",4,4.404,0.2673,0.4095,0.3068
520,"gene1675","1675","CFD","CFD",10,5.853,0.2062,0.4083,0.8259
521,"gene23475","23475","QPRT","QPRT",4,6.096,0.201,0.4082,0.1968
522,"gene330","330","BIRC3","BIRC3",28,6.893,0.192,0.4075,0.3016
523,"gene3925","3925","STMN1","STMN1",4,4.681,0.251,0.407,0.2149
524,"gene3693","3693","ITGB5","ITGB5",22,4.421,0.2655,0.4066,0.5607
525,"gene6175","6175","RPLP0","RPLP0",52,9.853,0.2235,0.4066,0.1728
526,"gene6161","6161","RPL32","RPL32",46,9.486,0.2169,0.4063,0.1725
527,"gene7311","7311","UBA52","UBA52",501,10.254,0.2315,0.4061,0.3381
528,"gene4831","4831","NME2","NME2",9,6.468,0.1951,0.406,0.191
529,"gene6141","6141","RPL18","RPL18",48,9.405,0.2155,0.406,0.1688
530,"gene6713","6713","SQLE","SQLE",7,3.955,0.2964,0.4057,0.2545
531,"gene8905","8905","AP1S2","AP1S2",16,5.767,0.2077,0.4054,0.2531
532,"gene4303","4303","FOXO4","FOXO4",30,6.571,0.1939,0.405,0.3757
533,"gene8669","8669","EIF3J","EIF3J",11,5.404,0.219,0.4046,0.1677
534,"gene146330","146330","FBXL16","FBXL16",7,4.607,0.2542,0.4042,0.4101
535,"gene6165","6165","RPL35A","RPL35A",46,8.523,0.2034,0.4038,0.1377
536,"gene4502","4502","MT2A","MT2A",10,3.954,0.2954,0.4022,0.4067
537,"gene22885","22885","ABLIM3","ABLIM3",5,4.162,0.2807,0.4018,0.6322
538,"gene513","513","ATP5F1D","ATP5F1D",6,5.965,0.2022,0.4011,0.1617
539,"gene51734","51734","MSRB1","MSRB1",2,6.553,0.1933,0.401,0.1913
540,"gene10871","10871","CD300C","CD300C",3,4.235,0.2755,0.4005,0.3889
541,"gene6228","6228","RPS23","RPS23",57,9.478,0.2152,0.399,0.1979
542,"gene143686","143686","SESN3","SESN3",5,7.028,0.1903,0.3979,0.3055
543,"gene51024","51024","FIS1","FIS1",2,6.238,0.1967,0.3975,0.2647
544,"gene6191","6191","RPS4X","RPS4X",54,10.138,0.2271,0.3975,0.312
545,"gene2781","2781","GNAZ","GNAZ",18,4.477,0.2597,0.3971,0.5288
546,"gene6001","6001","RGS10","RGS10",8,6.492,0.1931,0.397,0.2721
547,"gene84874","84874","ZNF514","ZNF514",3,4.377,0.2656,0.3968,0.3268
548,"gene84131","84131","CEP78","CEP78",16,4.85,0.2398,0.3965,0.3217
549,"gene4605","4605","MYBL2","MYBL2",15,2.489,0.4414,0.3957,0.6957
550,"gene3822","3822","KLRC2","KLRC2",8,2.32,0.4632,0.3956,0.9348
551,"gene8140","8140","SLC7A5","SLC7A5",10,5.271,0.2219,0.3956,0.3047
552,"gene2048","2048","EPHB2","EPHB2",14,2.205,0.4786,0.3953,0.608
553,"gene3394","3394","IRF8","IRF8",5,6.67,0.1911,0.3944,0.2118
554,"gene80139","80139","ZNF703","ZNF703",3,3.426,0.3377,0.3942,0.3714
555,"gene5727","5727","PTCH1","PTCH1",13,5.693,0.2074,0.3938,0.3777
556,"gene6721","6721","SREBF2","SREBF2",20,7.353,0.1895,0.3938,0.1728
557,"gene6648","6648","SOD2","SOD2",24,8.413,0.2003,0.3936,0.242
558,"gene5836","5836","PYGL","PYGL",7,6.775,0.1896,0.3919,0.2288
559,"gene2947","2947","GSTM3","GSTM3",4,2.096,0.4922,0.3919,1.3672
560,"gene4345","4345","CD200","CD200",3,2.832,0.3985,0.3909,0.6318
561,"gene151742","151742","PPM1L","PPM1L",4,4.729,0.2443,0.3904,0.3202
562,"gene340205","340205","TREML1","TREML1",3,4.842,0.2386,0.3898,0.6381
563,"gene708","708","C1QBP","C1QBP",17,5.653,0.2077,0.3898,0.1268
564,"gene7169","7169","TPM2","TPM2",3,4.675,0.2466,0.3881,0.4301
565,"gene6202","6202","RPS8","RPS8",54,9.585,0.2146,0.388,0.1622
566,"gene3480","3480","IGF1R","IGF1R",14,6.672,0.1898,0.3879,0.2843
567,"gene66002","66002","CYP4F12","CYP4F12",6,2.665,0.4164,0.3875,0.6227
568,"gene388931","388931","MFSD2B","MFSD2B",4,3.061,0.3722,0.3875,0.6866
569,"gene133","133","ADM","ADM",11,3.512,0.3273,0.3873,0.4644
570,"gene6147","6147","RPL23A","RPL23A",46,9.682,0.2161,0.3873,0.1554
571,"gene3579","3579","CXCR2","CXCR2",11,9.056,0.2063,0.3873,0.2356
572,"gene6142","6142","RPL18A","RPL18A",46,9.626,0.2149,0.386,0.1612
573,"gene4282","4282","MIF","MIF",10,5.703,0.2053,0.3851,0.1644
574,"gene3336","3336","HSPE1","HSPE1",8,5.169,0.2233,0.3844,0.1376
575,"gene4773","4773","NFATC2","NFATC2",21,7.706,0.1913,0.384,0.198
576,"gene2787","2787","GNG5","GNG5",87,4.469,0.2567,0.384,0.1885
577,"gene10437","10437","IFI30","IFI30",6,8.45,0.1987,0.3838,0.2632
578,"gene161882","161882","ZFPM1","ZFPM1",7,5.088,0.2264,0.3835,0.2241
579,"gene2357","2357","FPR1","FPR1",14,8.494,0.1987,0.382,0.2198
580,"gene6635","6635","SNRPE","SNRPE",24,4.288,0.267,0.3814,0.1766
581,"gene56975","56975","FAM20C","FAM20C",4,3.054,0.3706,0.3813,0.4852
582,"gene2162","2162","F13A1","F13A1",10,7.748,0.1913,0.3808,0.4537
583,"gene9231","9231","DLG5","DLG5",9,3.829,0.2985,0.3805,0.4869
584,"gene10859","10859","LILRB1","LILRB1",3,5.326,0.2164,0.3796,0.3057
585,"gene933","933","CD22","CD22",10,6.487,0.1897,0.379,0.5373
586,"gene942","942","CD86","CD86",19,5.102,0.2247,0.3785,0.2815
587,"gene9145","9145","SYNGR1","SYNGR1",3,3.766,0.3029,0.3785,0.4388
588,"gene2058","2058","EPRS1","EPRS1",13,6.636,0.1883,0.3781,0.1259
589,"gene6556","6556","SLC11A1","SLC11A1",9,7.433,0.1869,0.378,0.261
590,"gene6217","6217","RPS16","RPS16",54,9.38,0.2091,0.3779,0.1612
591,"gene80012","80012","PHC3","PHC3",33,6.638,0.1882,0.3776,0.1415
592,"gene2776","2776","GNAQ","GNAQ",48,6.126,0.1944,0.3775,0.2202
593,"gene6169","6169","RPL38","RPL38",46,8.542,0.1982,0.377,0.1601
594,"gene117155","117155","CATSPER2","CATSPER2",3,2.593,0.4205,0.3769,0.4397
595,"gene25946","25946","ZNF385A","ZNF385A",16,6.62,0.1881,0.3767,0.2696
596,"gene134429","134429","STARD4","STARD4",5,2.775,0.3992,0.3764,0.2685
597,"gene3556","3556","IL1RAP","IL1RAP",15,4.379,0.2601,0.3761,0.3305
598,"gene7128","7128","TNFAIP3","TNFAIP3",16,6.897,0.186,0.3754,0.185
599,"gene6159","6159","RPL29","RPL29",46,8.954,0.2025,0.3753,0.1509
600,"gene9194","9194","SLC16A7","SLC16A7",4,4.001,0.2842,0.3752,0.2063
601,"gene275","275","AMT","AMT",4,4.051,0.2806,0.3747,0.2644
602,"gene5567","5567","PRKACB","PRKACB",117,6.569,0.1881,0.3745,0.1758
603,"gene83988","83988","NCALD","NCALD",6,4.948,0.2303,0.3745,0.3705
604,"gene9580","9580","SOX13","SOX13",4,3.988,0.2849,0.3744,0.4396
605,"gene4708","4708","NDUFB2","NDUFB2",4,4.975,0.2291,0.3744,0.1698
606,"gene3575","3575","IL7R","IL7R",12,10.115,0.2214,0.374,0.3075
607,"gene4830","4830","NME1","NME1",6,3.621,0.3135,0.3737,0.2779
608,"gene27287","27287","VENTX","VENTX",8,4.027,0.2819,0.3733,0.4331
609,"gene55423","55423","SIRPG","SIRPG",4,5.064,0.225,0.3729,0.3157
610,"gene4646","4646","MYO6","MYO6",18,2.715,0.4046,0.3728,0.6779
611,"gene58477","58477","SRPRB","SRPRB",8,4.951,0.2296,0.3722,0.1618
612,"gene6188","6188","RPS3","RPS3",54,10.064,0.2199,0.3721,0.1642
613,"gene54583","54583","EGLN1","EGLN1",8,5.813,0.1997,0.3717,0.2244
614,"gene1163","1163","CKS1B","CKS1B",10,2.455,0.4347,0.3707,0.2365
615,"gene5732","5732","PTGER2","PTGER2",8,5.546,0.207,0.3706,0.2515
616,"gene306","306","ANXA3","ANXA3",4,2.86,0.3874,0.3705,0.5094
617,"gene1043","1043","CD52","CD52",3,8.823,0.1999,0.3703,0.1874
618,"gene7203","7203","CCT3","CCT3",17,6.65,0.1866,0.3699,0.1288
619,"gene2206","2206","MS4A2","MS4A2",12,3.102,0.3615,0.3698,0.6046
620,"gene6173","6173","RPL36A","RPL36A",46,8.652,0.1977,0.369,0.1519
621,"gene79071","79071","ELOVL6","ELOVL6",8,3.425,0.3293,0.3688,0.3986
622,"gene6039","6039","RNASE6","RNASE6",3,5.015,0.2259,0.3677,0.4029
623,"gene123","123","PLIN2","PLIN2",16,5.033,0.2251,0.3676,0.1979
624,"gene8541","8541","PPFIA3","PPFIA3",10,2.213,0.4645,0.3675,0.3059
625,"gene1890","1890","TYMP","TYMP",6,7.842,0.1898,0.3661,0.3138
626,"gene3386","3386","ICAM4","ICAM4",5,2.944,0.3766,0.3659,0.5961
627,"gene3595","3595","IL12RB2","IL12RB2",14,3.049,0.3655,0.3659,0.6176
628,"gene9045","9045","RPL14","RPL14",46,9.288,0.2052,0.3658,0.1554
629,"gene55466","55466","DNAJA4","DNAJA4",3,4.935,0.2284,0.3641,0.3344
630,"gene5966","5966","REL","REL",5,5.729,0.2003,0.364,0.1884
631,"gene54210","54210","TREM1","TREM1",7,5.647,0.2026,0.3639,0.3037
632,"gene4638","4638","MYLK","MYLK",12,3.72,0.3022,0.3638,0.4501
633,"gene3717","3717","JAK2","JAK2",86,5.36,0.2118,0.3637,0.1728
634,"gene2309","2309","FOXO3","FOXO3",51,6.773,0.1844,0.3637,0.2625
635,"gene140807","140807","KRT72","KRT72",3,3.9,0.288,0.363,1.2469
636,"gene8320","8320","EOMES","EOMES",11,5.887,0.1963,0.363,0.4166
637,"gene6207","6207","RPS13","RPS13",54,7.812,0.1888,0.3629,0.1608
638,"gene2201","2201","FBN2","FBN2",7,3.742,0.3,0.3625,0.5567
639,"gene3486","3486","IGFBP3","IGFBP3",10,2.804,0.3904,0.3625,0.6377
640,"gene79834","79834","PEAK1","PEAK1",6,4.976,0.2263,0.3625,0.1821
641,"gene57698","57698","SHTN1","SHTN1",5,4.151,0.2705,0.3622,0.4757
642,"gene463","463","ZFHX3","ZFHX3",5,4.726,0.2376,0.362,0.3099
643,"gene6375","6375","XCL1","XCL1",8,2.436,0.4332,0.3618,0.8265
644,"gene57654","57654","UVSSA","UVSSA",6,5.517,0.206,0.3615,0.2398
645,"gene539","539","ATP5PO","ATP5PO",8,5.762,0.1989,0.3614,0.141
646,"gene597","597","BCL2A1","BCL2A1",9,4.158,0.2697,0.3612,0.2432
647,"gene719","719","C3AR1","C3AR1",18,4.452,0.2519,0.361,0.6041
